DATETIME,TEMPERATURE
20200114T23:34:01,temp=38.0'C
20200114T23:36:01,temp=38.0'C
20200114T23:38:01,temp=37.0'C
20200114T23:40:02,temp=36.0'C
20200114T23:42:01,temp=37.0'C
20200114T23:44:01,temp=36.0'C
20200114T23:46:01,temp=37.0'C
20200114T23:48:01,temp=36.0'C
20200114T23:50:01,temp=36.0'C
20200114T23:52:01,temp=36.0'C
20200114T23:54:01,temp=36.0'C
20200114T23:56:01,temp=37.0'C
20200114T23:58:01,temp=36.0'C
