BOOK_URL;NUM_MAX_PAGES
http://literature.awgp.org/book/aadarsh_vivahon_ka_prachalan_kaise_ho/v1.1;http://literature.awgp.org/book/aadarsh_vivahon_ka_prachalan_kaise_ho/v1.27
http://literature.awgp.org/book/aadarshon_ki_balivedi_par_jivan_pusp_chadhana_sikhen_bhag_1/v1.1;http://literature.awgp.org/book/aadarshon_ki_balivedi_par_jivan_pusp_chadhana_sikhen_bhag_1/v1.80
http://literature.awgp.org/book/aadarshon_ki_balivedi_par_jivan_pusp_chadhana_sikhen_bhag-2/v1.1;http://literature.awgp.org/book/aadarshon_ki_balivedi_par_jivan_pusp_chadhana_sikhen_bhag-2/v1.71
http://literature.awgp.org/book/Aadya_Shakti_Gayatri_Ki_Samarath_Sadhana/v1.1;http://literature.awgp.org/book/Aadya_Shakti_Gayatri_Ki_Samarath_Sadhana/v1.32
http://literature.awgp.org/book/Aadya_Shakti_Gayatri_Ki_Samarath_Sadhana/v4.1;http://literature.awgp.org/book/Aadya_Shakti_Gayatri_Ki_Samarath_Sadhana/v4.16
http://literature.awgp.org/book/Gayatri_the_omnipotent_primordial_power/v3.1;http://literature.awgp.org/book/Gayatri_the_omnipotent_primordial_power/v3.32
http://literature.awgp.org/book/Gayatri_the_omnipotent_primordial_power/v1.1;http://literature.awgp.org/book/Gayatri_the_omnipotent_primordial_power/v1.12
http://literature.awgp.org/book/adhi_jhan_shakti_apang_na_rahe/v1.1;http://literature.awgp.org/book/adhi_jhan_shakti_apang_na_rahe/v1.48
http://literature.awgp.org/book/adhi_jhan_shakti_apang_na_rahe/v3.1;http://literature.awgp.org/book/adhi_jhan_shakti_apang_na_rahe/v3.4
http://literature.awgp.org/book/adhunikata_ki_daud_men_nari_adarshon_se_na_gire/v1.1;http://literature.awgp.org/book/adhunikata_ki_daud_men_nari_adarshon_se_na_gire/v1.33
http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v1.1;http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v1.77
http://literature.awgp.org/book/adhyatmik_utkarsh_ke_sopan/v1.1;http://literature.awgp.org/book/adhyatmik_utkarsh_ke_sopan/v1.2
http://literature.awgp.org/book/spiritual_science_of_sex_element/v2.1;http://literature.awgp.org/book/spiritual_science_of_sex_element/v2.120
http://literature.awgp.org/book/aadhyatmik_kaam_vigyan/v2.1;http://literature.awgp.org/book/aadhyatmik_kaam_vigyan/v2.120
http://literature.awgp.org/book/aadhyatmik_kaam_vigyan/v1.1;http://literature.awgp.org/book/aadhyatmik_kaam_vigyan/v1.7
http://literature.awgp.org/book/aadhyatmik_kayakalp_ka_vidh_vidhan2/v2.1;http://literature.awgp.org/book/aadhyatmik_kayakalp_ka_vidh_vidhan2/v2.32
http://literature.awgp.org/book/Adhyatmik_Chikitsa_Ek_Samagra_Upchar/v2.1;http://literature.awgp.org/book/Adhyatmik_Chikitsa_Ek_Samagra_Upchar/v2.122
http://literature.awgp.org/book/Adhyatmik_Chikitsa_Ek_Samagra_Upchar/v3.1;http://literature.awgp.org/book/Adhyatmik_Chikitsa_Ek_Samagra_Upchar/v3.30
http://literature.awgp.org/book/aadhyatmik_drishtikon_aur_anant_aatmabal/v1.1;http://literature.awgp.org/book/aadhyatmik_drishtikon_aur_anant_aatmabal/v1.49
http://literature.awgp.org/book/Aantarik_Ullas_Ka_Vikas/v1.1;http://literature.awgp.org/book/Aantarik_Ullas_Ka_Vikas/v1.40
http://literature.awgp.org/book/aantarik_kayakalp_ka_saral_kint_sunishchir_vidhan/v1.1;http://literature.awgp.org/book/aantarik_kayakalp_ka_saral_kint_sunishchir_vidhan/v1.173
http://literature.awgp.org/book/aantarik_kayakalp_ka_saral_kint_sunishchir_vidhan/v2.1;http://literature.awgp.org/book/aantarik_kayakalp_ka_saral_kint_sunishchir_vidhan/v2.24
http://literature.awgp.org/book/aantarik_kayakalp_ka_saral_kint_sunishchir_vidhan/v2.1;http://literature.awgp.org/book/aantarik_kayakalp_ka_saral_kint_sunishchir_vidhan/v2.24
http://literature.awgp.org/book/aapattikal_ka_adhyatm/v2.1;http://literature.awgp.org/book/aapattikal_ka_adhyatm/v2.32
http://literature.awgp.org/book/aapattiyon_me_dhairya/v2.1;http://literature.awgp.org/book/aapattiyon_me_dhairya/v2.9
