DATETIME,TEMPERATURE
20200115T20:54:01,37.0
20200115T20:56:01,37.0
20200115T20:58:01,37.0
20200115T21:00:01,37.0
20200115T21:02:01,38.0
20200115T21:04:01,39.0
20200115T21:06:01,36.0
20200115T21:08:01,38.0
20200115T21:10:01,39.0
20200115T21:12:01,37.0
20200115T21:14:01,38.0
20200115T21:16:01,37.0
20200115T21:18:01,38.0
20200115T21:20:01,37.0
20200115T21:22:01,38.0
20200115T21:24:01,37.0
20200115T21:26:01,38.0
20200115T21:28:01,38.0
20200115T21:30:01,36.0
20200115T21:32:01,37.0
20200115T21:34:01,38.0
20200115T21:36:01,37.0
20200115T21:38:01,37.0
20200115T21:40:01,37.0
20200115T21:42:01,37.0
20200115T21:44:01,38.0
20200115T21:46:01,36.0
20200115T21:48:01,37.0
20200115T21:50:01,37.0
20200115T21:52:01,41.0
20200115T21:54:01,46.0
20200115T21:56:01,40.0
20200115T21:58:01,37.0
20200115T22:00:01,38.0
20200115T22:02:01,38.0
20200115T22:04:01,37.0
20200115T22:06:01,38.0
20200115T22:08:01,37.0
20200115T22:10:01,37.0
20200115T22:12:01,38.0
20200115T22:14:01,37.0
20200115T22:16:01,37.0
20200115T22:18:01,37.0
20200115T22:20:01,38.0
20200115T22:22:01,37.0
20200115T22:24:01,38.0
20200115T22:26:01,37.0
20200115T22:28:01,38.0
20200115T22:30:02,42.0
20200115T22:32:01,43.0
20200115T22:34:01,50.0
20200115T22:36:01,41.0
20200115T22:38:01,44.0
20200115T22:40:01,44.0
20200115T22:42:01,48.0
20200115T22:44:02,51.0
20200115T22:46:01,42.0
20200115T22:48:01,39.0
20200115T22:50:01,42.0
20200115T22:52:01,43.0
20200115T22:54:01,50.0
20200115T22:56:01,41.0
20200115T22:58:01,44.0
20200115T23:00:01,48.0
20200115T23:02:01,43.0
20200115T23:04:02,40.0
20200115T23:06:03,42.0
20200115T23:08:01,44.0
20200115T23:10:01,44.0
20200115T23:12:01,44.0
20200115T23:14:01,45.0
20200115T23:16:01,43.0
20200115T23:18:01,44.0
20200115T23:20:01,52.0
20200115T23:22:01,51.0
20200115T23:24:02,51.0
20200115T23:26:01,53.0
20200115T23:28:01,52.0
20200115T23:30:01,52.0
20200115T23:51:04,44.0
20200115T23:52:01,45.0
20200115T23:54:01,50.0
20200115T23:54:50,52.0
20200115T23:56:01,51.0
20200115T23:58:01,53.0
20200115T23:58:11,52.0
20200115T23:58:15,52.0
20200115T23:58:15,52.0
